Brand Name,Product Name,Rating,Rating Number,Price,Return/Exchange,Expected Delivery,Availability,Product URLs,Other Details
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small",4 out of 5,"14,147 ratings","₹1,999",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTY5MjgwMDIyMzk3MDM2OjE3MDcxNzg5MTY6c3BfYXRmOjMwMDEwNjQ2MjgxMDczMjo6MDo6&url=%2FIntern-INT-38C-Acoustic-Guitar-Black%2Fdp%2FB073B6TQQY%2Fref%3Dsr_1_1%3Fcrid%3D2F6RNMG0OPOKK%26keywords%3Dguitar%26qid%3D1707178916%26sprefix%3D%252Caps%252C149%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Great looks with an innovative design to produce good quality sound
Kadence,Kadence A281BK Professional Acoustic Rosewood Guitar (Black),5 out of 5,2 ratings,"₹6,499",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTY5MjgwMDIyMzk3MDM2OjE3MDcxNzg5MTY6c3BfYXRmOjMwMDAzMTMyOTU5MDczMjo6MDo6&url=%2FKadence-A281BK-Professional-Acoustic-Rosewood%2Fdp%2FB0CD7D6C6R%2Fref%3Dsr_1_2%3Fcrid%3D2F6RNMG0OPOKK%26keywords%3Dguitar%26qid%3D1707178916%26sprefix%3D%252Caps%252C149%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Kadence A281 Guitar features stabilised die-cast tuners, ensuring precise and reliable tuning for consistent performance."
Kadence,"Kadence A281 Professional Acoustic Rosewood guitar (Natural, Beige)",5 out of 5,1 rating,"₹6,499",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTY5MjgwMDIyMzk3MDM2OjE3MDcxNzg5MTY6c3BfYXRmOjMwMDAyMjkzODAyNjEzMjo6MDo6&url=%2FKadence-Professional-Acoustic-Rosewood-Natural%2Fdp%2FB0CC927DLN%2Fref%3Dsr_1_3%3Fcrid%3D2F6RNMG0OPOKK%26keywords%3Dguitar%26qid%3D1707178916%26sprefix%3D%252Caps%252C149%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Kadence A281 Guitar features stabilised die-cast tuners, ensuring precise and reliable tuning for consistent performance."
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",4 out of 5,"1,157 ratings","₹5,499",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTY5MjgwMDIyMzk3MDM2OjE3MDcxNzg5MTY6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_4%3Fcrid%3D2F6RNMG0OPOKK%26keywords%3Dguitar%26qid%3D1707178916%26sprefix%3D%252Caps%252C149%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful."
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small",4 out of 5,"14,147 ratings","₹1,999",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?crid=2F6RNMG0OPOKK&keywords=guitar&qid=1707178916&sprefix=%2Caps%2C149&sr=8-5,Great looks with an innovative design to produce good quality sound
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)",4.2 out of 5,"2,858 ratings","₹7,290",7 days Replacement,FREE delivery 8 - 14 February,Only 1 left in stock.,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_6?crid=2F6RNMG0OPOKK&keywords=guitar&qid=1707178916&sprefix=%2Caps%2C149&sr=8-6,Rosewood fingerboard
Intern,"Intern INT-38C-SB Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",4 out of 5,"14,147 ratings","₹2,199",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_7?crid=2F6RNMG0OPOKK&keywords=guitar&qid=1707178916&sprefix=%2Caps%2C149&sr=8-7,Great looks with an innovative design to produce good quality sound
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small",4 out of 5,"14,147 ratings","₹1,999",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjMxNDYxMDUyMjQxMDM2OjE3MDcxNzg5MTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwNjQ2MjgxMDczMjo6MDo6&url=%2FIntern-INT-38C-Acoustic-Guitar-Black%2Fdp%2FB073B6TQQY%2Fref%3Dsxin_15_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%253Aamzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%26crid%3D2F6RNMG0OPOKK%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB073B6TQQY%26pd_rd_r%3D7305f990-ea98-41f4-a4c3-87f0c6b7680c%26pd_rd_w%3DsuoyD%26pd_rd_wg%3D1byI8%26pf_rd_p%3D37bad8da-0499-4510-838e-af217f0a67c4%26pf_rd_r%3D33JSYEAYC4541ASW3PME%26qid%3D1707178916%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C149%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Great looks with an innovative design to produce good quality sound
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",4 out of 5,"3,087 ratings","₹4,999",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjMxNDYxMDUyMjQxMDM2OjE3MDcxNzg5MTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxNTUwODk1NDEzMjo6MTo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsxin_15_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%253Aamzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%26crid%3D2F6RNMG0OPOKK%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB01GDZ46AA%26pd_rd_r%3D7305f990-ea98-41f4-a4c3-87f0c6b7680c%26pd_rd_w%3DsuoyD%26pd_rd_wg%3D1byI8%26pf_rd_p%3D37bad8da-0499-4510-838e-af217f0a67c4%26pf_rd_r%3D33JSYEAYC4541ASW3PME%26qid%3D1707178916%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C149%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful."
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",4 out of 5,"1,157 ratings","₹5,499",7 days Replacement,"FREE delivery Thursday, 8 February. Details",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjMxNDYxMDUyMjQxMDM2OjE3MDcxNzg5MTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxNTUzNzk3OTIzMjo6Mjo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsxin_15_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%253Aamzn1.sym.37bad8da-0499-4510-838e-af217f0a67c4%26crid%3D2F6RNMG0OPOKK%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB078GTJP5Y%26pd_rd_r%3D7305f990-ea98-41f4-a4c3-87f0c6b7680c%26pd_rd_w%3DsuoyD%26pd_rd_wg%3D1byI8%26pf_rd_p%3D37bad8da-0499-4510-838e-af217f0a67c4%26pf_rd_r%3D33JSYEAYC4541ASW3PME%26qid%3D1707178916%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C149%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful."
