Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
MOTOROLA ,"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",Ice Blue,8 GB,128 GB,50MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Snapdragon,Snapdragon 695 5G,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGUFK4P2H9CY7Y.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)",Ocean Green,8 GB,128 GB,50MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Snapdragon,Snapdragon 695 5G,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
MOTOROLA ,"Motorola G34 5G (Ocean Green, 128 GB)  (4 GB RAM)",Ocean Green,4 GB,128 GB,50MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Snapdragon,Snapdragon 695 5G,5000 mAh Battery,"Rs. 10,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGUFK49KDBZUMC.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
POCO ,"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)",Royal Blue,4 GB,64 GB,8MP Dual Rear Camera,5MP Front Camera,16.56 cm (6.52 inch),1600 x 720 Pixels,Mediatek,Helio G36,5000 mAh Battery,"Rs. 5,499",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZCQFCWNDK89P.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)",Marine Blue,6 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFU4HBKKFSN.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)",Aurora Gold,6 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFUFNDXSGHS.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)",Glimmer Black,6 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFUF389GDMP.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)",Aurora Gold,8 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 14,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXBYGWK9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFUSEFSWASX.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)",Marine Blue,8 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 14,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFUZHRYUKVR.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
vivo ,"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)",Marine Blue,4 GB,128 GB,50MP + 2MP,8MP Front Camera,16.71 cm (6.58 inch),2408 x 1080 Pixels,Mediatek,Dimensity 6020,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c9b573a0-ffa6-496f-829b-5d937374cdd2.MOBGZBFUPTU7DNCA.SEARCH&ppt=hp&ppn=homepage&ssid=uprniwjghs0000001707424352611&qH=1036ba3c4ed2c021
